name,aliases,kcal,protein,fat,carbs,weight_g,emoji,advice,source,confidence,trust_score
яблоко,яблоко зеленое|яблоко красное|apple,78,0.4,0.3,21,150,🍎,Среднее яблоко удобно считать как 150 г.,seed,0.9,0.91
банан,banana|банан средний,107,1.3,0.4,27.6,120,🍌,Средний банан обычно около 120 г без кожуры.,seed,0.9,0.91
апельсин,orange|апельсин средний,94,1.8,0.2,24,200,🍊,Средний апельсин удобно считать как 200 г.,seed,0.88,0.9
груша,pear|груша средняя,86,0.6,0.2,23,150,🍐,Средняя груша обычно около 150 г.,seed,0.88,0.9
виноград,grapes|виноград белый|виноград красный,69,0.7,0.2,18,100,🍇,Виноград легко недооценить по весу.,seed,0.88,0.9
клубника,strawberry|клубника свежая,32,0.7,0.3,7.7,100,🍓,Низкокалорийная ягода для сладкого перекуса.,seed,0.88,0.9
огурец,огурцы|cucumber|свежий огурец,15,0.7,0.1,3.6,100,🥒,Огурец почти не добавляет калорий.,seed,0.9,0.91
помидор,томат|помидоры|tomato,18,0.9,0.2,3.9,100,🍅,Свежие овощи помогают добрать объем еды.,seed,0.9,0.91
морковь,carrot|морковка,41,0.9,0.2,9.6,100,🥕,Морковь удобно учитывать сырой на 100 г.,seed,0.88,0.9
капуста белокочанная,капуста|white cabbage,27,1.8,0.1,6.8,100,🥬,Капуста хорошо добавляет объем к рациону.,seed,0.88,0.9
брокколи,broccoli|броколи,34,2.8,0.4,6.6,100,🥦,Брокколи удобно считать на 100 г.,seed,0.88,0.9
картофель вареный,картошка вареная|картофель|вареная картошка,82,2,0.4,17,100,🥔,Для жареного картофеля используй отдельную позицию.,seed,0.9,0.91
картофельное пюре,пюре|пюре картофельное,110,2,4,17,100,🥔,Масло и молоко могут сильно менять калории.,seed,0.86,0.88
картофель жареный,жареная картошка|картошка жареная,190,2.8,10,22,100,🍳,Масло часто главный источник калорий в жарке.,seed,0.86,0.88
рис вареный,рис|рис белый|вареный рис,130,2.7,0.3,28,100,🍚,Указано для готового вареного риса.,seed,0.9,0.91
рис бурый вареный,бурый рис|коричневый рис,112,2.3,0.8,24,100,🍚,Указано для готового вареного риса.,seed,0.88,0.9
гречка вареная,гречка|гречневая каша|греча,110,3.6,1.1,20,100,🥣,Указано для готовой вареной гречки.,seed,0.9,0.92
овсянка на воде,овсянка|овсяная каша|геркулес на воде,71,2.5,1.5,12,100,🥣,Молоко и сахар учитывай отдельно.,seed,0.9,0.91
овсянка на молоке,овсяная каша на молоке|геркулес на молоке,105,3.5,3.3,15,100,🥣,Сахар и масло учитывай отдельно.,seed,0.88,0.9
макароны вареные,макароны|паста вареная|спагетти вареные,158,5.8,0.9,31,100,🍝,Указано для готовых вареных макарон.,seed,0.9,0.91
кус-кус готовый,кускус|couscous,112,3.8,0.2,23,100,🥣,Указано для готового кус-куса.,seed,0.86,0.88
булгур вареный,булгур|bulgur,83,3.1,0.2,18.6,100,🥣,Указано для готового булгура.,seed,0.86,0.88
перловка вареная,перловая каша|перловка,109,3.1,0.4,22,100,🥣,Указано для готовой крупы.,seed,0.86,0.88
куриная грудка,куриная грудка вареная|филе курицы|куриное филе,165,31,3.6,0,100,🍗,Белковая база рациона без учета масла и соусов.,seed,0.9,0.92
куриное бедро,бедро куриное|курица бедро,209,26,11,0,100,🍗,Кожа и жарка увеличивают жиры.,seed,0.86,0.88
курица жареная,жареная курица|курица гриль,230,27,13,0,100,🍗,Масло и кожа могут заметно менять калории.,seed,0.84,0.87
индейка филе,филе индейки|грудка индейки,135,29,1.5,0,100,🦃,Постный белковый продукт.,seed,0.88,0.9
говядина тушеная,говядина|тушеная говядина,187,19,12,0,100,🥩,Жирность зависит от части мяса.,seed,0.86,0.88
свинина запеченная,свинина|запеченная свинина,242,27,14,0,100,🥩,Жирность сильно зависит от куска.,seed,0.84,0.87
фарш говяжий,говяжий фарш,254,17,20,0,100,🥩,Проверь жирность фарша на упаковке.,seed,0.84,0.87
котлета домашняя,котлета|котлета мясная|домашняя котлета,250,15,18,8,100,🍽️,Панировка и масло меняют калории.,seed,0.84,0.87
рыба белая запеченная,белая рыба|треска|минтай,105,20,2,0,100,🐟,Постная рыба без масла.,seed,0.88,0.9
лосось,семга|лосось запеченный|salmon,208,20,13,0,100,🐟,Жирная рыба хорошо насыщает.,seed,0.88,0.9
тунец консервированный,тунец|тунец в собственном соку,116,26,1,0,100,🐟,Для тунца в масле калории выше.,seed,0.88,0.9
креветки,shrimp|креветки вареные,99,24,0.3,0.2,100,🦐,Почти чистый белок.,seed,0.88,0.9
яйцо куриное,яйцо|куриное яйцо|1 яйцо,78,6.5,5.5,0.6,55,🥚,Одно среднее яйцо около 55 г.,seed,0.9,0.92
омлет из двух яиц,омлет|омлет 2 яйца,180,13,14,2,130,🍳,Молоко сыр и масло учитывай отдельно если добавляешь.,seed,0.86,0.88
творог 5%,творог|творог 5|творог пятипроцентный,121,17,5,3,100,🥛,Хороший белковый продукт.,seed,0.9,0.92
творог 2%,творог 2|творог нежирный,103,18,2,3.3,100,🥛,Проверь жирность на упаковке.,seed,0.88,0.9
творог 9%,творог 9|творог жирный,159,16.7,9,2,100,🥛,Жирность сильно влияет на калории.,seed,0.88,0.9
йогурт натуральный,йогурт|натуральный йогурт,66,4,3.2,5,100,🥛,Сладкий йогурт может быть заметно калорийнее.,seed,0.88,0.9
греческий йогурт,йогурт греческий|greek yogurt,97,9,5,4,100,🥛,Проверь жирность и сахар на упаковке.,seed,0.88,0.9
кефир 2.5%,кефир|кефир 2 5,53,3,2.5,4,100,🥛,Стакан кефира обычно 200-250 мл.,seed,0.9,0.91
молоко 3.2%,молоко|молоко 3 2,60,3,3.2,4.7,100,🥛,Стакан молока обычно около 250 мл.,seed,0.9,0.91
сыр твердый,сыр|российский сыр|гауда,350,25,27,2,100,🧀,Сыр легко перебрать по калориям из-за жирности.,seed,0.88,0.9
моцарелла,сыр моцарелла|mozzarella,280,18,22,2.2,100,🧀,Проверь влажность и жирность продукта.,seed,0.86,0.88
сметана 15%,сметана|сметана 15,158,2.6,15,3,100,🥛,Ложка сметаны около 20 г.,seed,0.88,0.9
сливочное масло,масло сливочное|butter,748,0.5,82,0.8,100,🧈,Одна чайная ложка около 5 г.,seed,0.9,0.92
оливковое масло,масло оливковое|olive oil,884,0,100,0,100,🫒,Одна столовая ложка около 15 г.,seed,0.9,0.92
подсолнечное масло,масло подсолнечное,899,0,99.9,0,100,🛢️,Масло в готовке часто незаметно добавляет калории.,seed,0.9,0.92
хлеб белый,белый хлеб|батон,250,8,3,49,100,🍞,Один ломтик обычно 25-35 г.,seed,0.88,0.9
хлеб ржаной,черный хлеб|ржаной хлеб,210,6,1.2,42,100,🍞,Один ломтик обычно 30-40 г.,seed,0.88,0.9
лаваш тонкий,лаваш|тонкий лаваш,275,9,1.2,56,100,🫓,Вес листа сильно отличается по брендам.,seed,0.86,0.88
